symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-06-07 00:00:00+00:00,193.46,194.2,192.34,194.14,21347180,46.2816173536,46.4586482481,46.0136787025,46.4442943917,85388720,0.0,1.0
AAPL,2018-06-08 00:00:00+00:00,191.7,192.0,189.77,191.17,26656799,45.8605709019,45.9323401834,45.3988551907,45.7337785045,106627196,0.0,1.0
AAPL,2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460,45.7481323608,45.9251632553,45.5041168036,45.7768400735,73233840,0.0,1.0
AAPL,2018-06-12 00:00:00+00:00,192.28,192.61,191.15,191.39,16911141,45.9993248462,46.0782710559,45.7289938858,45.786409311,67644564,0.0,1.0
AAPL,2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393,45.6213399635,46.1428634093,45.5591399195,46.0328171776,86553572,0.0,1.0
AAPL,2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074,45.6452630573,45.8294708799,45.506509113,45.8246862611,86440296,0.0,1.0
AAPL,2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160,45.1763704179,45.4921552567,45.0376164736,45.4610552347,246876640,0.0,1.0
AAPL,2018-06-18 00:00:00+00:00,188.74,189.22,187.2,187.88,18484865,45.1524473241,45.2672781745,44.7840316789,44.946708717,73939460,0.0,1.0
AAPL,2018-06-19 00:00:00+00:00,185.69,186.33,183.45,185.14,33578455,44.4227929618,44.5759007624,43.8869156597,44.2912159456,134313820,0.0,1.0
AAPL,2018-06-20 00:00:00+00:00,186.5,187.2,185.73,186.35,20628701,44.6165700219,44.7840316789,44.4323621993,44.5806853812,82514804,0.0,1.0
AAPL,2018-06-21 00:00:00+00:00,185.46,188.35,184.94,187.25,25711898,44.367769846,45.0591472581,44.243369758,44.7959932258,102847592,0.0,1.0
AAPL,2018-06-22 00:00:00+00:00,184.92,186.15,184.7,186.12,27200447,44.2385851392,44.5328391935,44.1859543327,44.5256622653,108801788,0.0,1.0
AAPL,2018-06-25 00:00:00+00:00,182.17,184.92,180.73,183.4,31663096,43.5807000584,44.2385851392,43.2362075071,43.8749541127,126652384,0.0,1.0
AAPL,2018-06-26 00:00:00+00:00,184.43,186.53,182.54,182.99,24569201,44.1213619793,44.6237469501,43.6692155057,43.776869428,98276804,0.0,1.0
AAPL,2018-06-27 00:00:00+00:00,184.16,187.28,184.03,185.23,25285328,44.056769626,44.8031701539,44.025669604,44.3127467301,101141312,0.0,1.0
AAPL,2018-06-28 00:00:00+00:00,185.5,186.21,183.8,184.1,17365235,44.3773390835,44.5471930498,43.9706464881,44.0424157697,69460940,0.0,1.0
AAPL,2018-06-29 00:00:00+00:00,185.11,187.19,182.91,186.29,22737666,44.2840390175,44.7816393695,43.7577309529,44.5663315249,90950664,0.0,1.0
